date,altimeter_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,Load_demand
10/25/2020 0:00,29.99,32,80.19,19.56,80,0.057
10/25/2020 0:15,30,32,80.19,18.41,80,0.056
10/25/2020 0:30,29.99,32,80.19,16.11,80,0.0565
10/25/2020 0:45,30,32,80.19,16.11,80,0.0555
10/25/2020 1:00,30.01,32,80.19,13.81,70,0.056
10/25/2020 1:15,30.01,32,80.19,16.11,70,0.056
10/25/2020 1:30,30,32,80.19,13.81,70,0.0555
10/25/2020 1:45,30.02,30.2,86.26,10.36,60,0.056
10/25/2020 2:00,30.02,32,80.19,9.21,50,0.056
10/25/2020 2:15,30.04,30.2,86.26,9.21,30,0.0565
10/25/2020 2:30,30.05,30.2,86.26,9.21,30,0.056
10/25/2020 2:45,30.06,30.2,86.26,9.21,40,0.0565
10/25/2020 3:00,30.05,30.2,86.26,10.36,50,0.0555
10/25/2020 3:15,30.05,32,80.19,12.66,60,0.0555
10/25/2020 3:30,30.06,32,80.19,12.66,50,0.056
10/25/2020 3:45,30.07,32,80.19,12.66,50,0.055
10/25/2020 4:00,30.07,33.8,80.34,12.66,50,0.056
10/25/2020 4:15,30.07,32,80.19,9.21,30,0.055
10/25/2020 4:30,30.07,32,80.19,11.51,30,0.055
10/25/2020 4:45,30.08,32,80.19,11.51,30,0.0555
10/25/2020 5:00,30.07,32,80.19,13.81,30,0.0555
10/25/2020 5:15,30.07,32,86.37,13.81,40,0.0555
10/25/2020 5:30,30.08,33.8,80.34,13.81,30,0.0555
10/25/2020 5:45,30.08,33.8,80.34,14.96,40,0.055
10/25/2020 6:00,30.08,33.8,80.34,16.11,40,0.055
10/25/2020 6:15,30.08,33.8,80.34,13.81,40,0.0555
10/25/2020 6:30,30.08,33.8,80.34,13.81,40,0.055
10/25/2020 6:45,30.09,33.8,80.34,12.66,40,0.0555
10/25/2020 7:00,30.09,33.8,80.34,14.96,40,0.0555
10/25/2020 7:15,30.1,33.8,80.34,16.11,40,0.055
10/25/2020 7:30,30.11,33.8,80.34,12.66,40,0.0555
10/25/2020 7:45,30.1,33.8,80.34,16.11,40,0.0555
10/25/2020 8:00,30.1,32,86.37,13.81,40,0.056
10/25/2020 8:15,30.1,32,86.37,17.26,30,0.0565
10/25/2020 8:30,30.11,32,86.37,16.11,30,0.0575
10/25/2020 8:45,30.12,32,86.37,16.11,30,0.0565
10/25/2020 9:00,30.12,32,92.96,14.96,40,0.058
10/25/2020 9:15,30.13,32,92.96,16.11,30,0.0565
10/25/2020 9:30,30.13,32,92.96,16.11,40,0.0585
10/25/2020 9:45,30.13,32,86.37,17.26,30,0.0565
10/25/2020 10:00,30.13,32,92.96,18.41,30,0.0575
10/25/2020 10:15,30.14,32,92.96,17.26,30,0.056
10/25/2020 10:30,30.15,32,92.96,19.56,30,0.057
10/25/2020 10:45,30.15,32,92.96,17.26,30,0.0565
10/25/2020 11:00,30.16,32,92.96,17.26,30,0.058
10/25/2020 11:15,30.16,32,92.96,17.26,30,0.0585
10/25/2020 11:30,30.16,32,92.96,19.56,30,0.0585
10/25/2020 11:45,30.17,32,92.96,16.11,30,0.058
10/25/2020 12:00,30.18,32,92.96,18.41,30,0.059
10/25/2020 12:15,30.18,32,92.96,14.96,30,0.0495
10/25/2020 12:30,30.17,32,92.96,18.41,30,0.0505
10/25/2020 12:45,30.17,32,86.37,18.41,20,0.045
10/25/2020 13:00,30.17,32,92.96,18.41,30,0.0415
10/25/2020 13:15,30.16,32,86.37,18.41,30,0.045
10/25/2020 13:30,30.16,32,92.96,19.56,30,0.0415
10/25/2020 13:45,30.14,30.2,92.91,18.41,30,0.0445
10/25/2020 14:00,30.15,30.2,100,19.56,30,0.0415
10/25/2020 14:15,30.14,30.2,92.91,18.41,30,0.046
10/25/2020 14:30,30.15,30.2,92.91,19.56,30,0.0425
10/25/2020 14:45,30.13,30.2,92.91,18.41,30,0.0445
10/25/2020 15:00,30.13,30.2,92.91,19.56,20,0.0455
10/25/2020 15:15,30.14,30.2,92.91,19.56,20,0.043
10/25/2020 15:30,30.14,30.02,88.2,20.71,10,0.044
10/25/2020 15:45,30.14,28.4,92.85,21.86,20,0.043
